"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675850090445916E9,"2023-02-08 10:54:50.446 UTC+01:00"
"PAUSE",1.451744291663636E1,1.675850104963393E9,"2023-02-08 10:55:04.963 UTC+01:00"
