"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.346150833E-1,-1.627296021E1,1.889296188E1,-1.617042343E1,2.971928392E1
7.445590833E-1,-1.393497208E1,2.168899750E1,-1.215412537E1,2.850120739E1
7.545030833E-1,-1.157033936E1,2.340667557E1,-9.126820679E0,2.765943003E1
7.644460833E-1,-1.163919617E1,2.464115845E1,-7.083270264E0,2.815724231E1
7.743900833E-1,-1.419962173E1,2.391786255E1,-5.956413574E0,2.844595347E1
7.843340833E-1,-1.592598175E1,2.178869019E1,-4.749323730E0,2.740328430E1
7.942780833E-1,-1.516002457E1,1.853296051E1,-1.675465851E0,2.400216982E1
8.042220833E-1,-1.297816177E1,1.384710480E1,3.126548309E0,1.923409209E1
8.141660833E-1,-1.004695724E1,8.365204468E0,8.756790161E0,1.573529058E1
8.241100833E-1,-5.953419800E0,2.218237152E0,1.520792496E1,1.648164934E1
8.340540833E-1,-1.270557861E0,-3.946543121E0,2.207369751E1,2.245968926E1
8.439980833E-1,3.105292511E0,-9.200766907E0,2.714575012E1,2.883034344E1
8.539420833E-1,7.099137268E0,-1.368124969E1,2.958747253E1,3.336154784E1
8.638860833E-1,1.092428284E1,-1.743948441E1,2.934856934E1,3.584430351E1
8.738300833E-1,1.620859406E1,-1.800306244E1,2.668216415E1,3.603840538E1
8.837740833E-1,2.183584213E1,-1.612327148E1,2.161160843E1,3.469618861E1
8.937170833E-1,2.552357346E1,-1.427671143E1,1.481873428E1,3.278524328E1
9.036610833E-1,2.589465179E1,-1.129955246E1,7.718698883E0,2.928807248E1
9.136050833E-1,2.184377563E1,-8.835376740E0,1.874701538E0,2.363744745E1
9.235490833E-1,1.604872650E1,-7.137457581E0,-1.226699066E0,1.760709271E1
9.334930833E-1,9.262588348E0,-5.486540680E0,-3.400478668E0,1.128985946E1
9.434370833E-1,7.400610352E-1,-3.572920074E0,-4.418661346E0,5.730446430E0
9.533810833E-1,-7.776029663E0,-1.266366577E-1,-3.738026733E0,8.628761094E0
9.633250833E-1,-1.651081558E1,6.368806000E0,-3.429368591E0,1.802579513E1
9.732690833E-1,-2.363599869E1,1.494462250E1,-4.531975708E0,2.832915423E1
9.832130833E-1,-2.719245300E1,2.227817230E1,-4.616400146E0,3.545500827E1
9.931570833E-1,-2.629417099E1,2.692136673E1,-5.480702820E0,3.802869335E1
1.003101083E0,-2.230870880E1,3.005450134E1,-7.006030884E0,3.807933834E1
1.013045083E0,-1.974229568E1,3.142280594E1,-8.410410461E0,3.805109691E1
1.022989083E0,-1.900133652E1,3.086252106E1,-1.021685394E1,3.765541262E1
1.032932083E0,-1.889251282E1,2.813758759E1,-1.095077774E1,3.561699607E1
1.042876083E0,-1.734113892E1,2.417472839E1,-9.377998352E0,3.119422134E1
1.052820083E0,-1.430006287E1,1.913111664E1,-6.068081360E0,2.464372198E1
1.062764083E0,-1.076187057E1,1.352213058E1,-2.228565674E0,1.742505032E1
1.072708083E0,-7.290589142E0,7.455246735E0,1.294208679E0,1.050753872E1
1.082652083E0,-3.929179230E0,1.176403656E0,4.450994110E0,6.052579909E0
1.092596083E0,-1.303788757E-1,-5.172344055E0,7.635771332E0,9.223618894E0
1.102540083E0,5.029690704E0,-1.054646851E1,1.191746750E1,1.668987172E1
1.112484083E0,1.031849258E1,-1.503473511E1,1.573827209E1,2.408750210E1
1.122428083E0,1.641217072E1,-1.747496063E1,1.801803131E1,2.998971572E1
1.132372083E0,2.328393082E1,-1.755294846E1,1.849254456E1,3.452856264E1
1.142316083E0,2.851420441E1,-1.683788544E1,1.664134415E1,3.706087659E1
1.152260083E0,3.011198181E1,-1.537946823E1,1.341854599E1,3.637742251E1
1.162203083E0,2.761667084E1,-1.338441696E1,9.186097412E0,3.203447379E1
1.172147083E0,2.330264191E1,-1.029783554E1,4.832101593E0,2.593082610E1
1.182091083E0,1.745744705E1,-7.764054565E0,1.687590637E0,1.918048391E1
1.192035083E0,1.044872177E1,-5.286257172E0,4.879852295E-2,1.170993949E1
