"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.500238333E-1,-4.302053833E-1,4.153263245E0,8.688232727E0,9.639505183E0
6.599698333E-1,-3.682342529E-1,4.156706085E0,8.773555298E0,9.715403981E0
6.699148333E-1,-3.071612549E-1,4.193828888E0,8.732241211E0,9.691985624E0
6.798598333E-1,-2.333647156E-1,4.193230133E0,8.647667084E0,9.613520897E0
6.898048333E-1,-1.691482544E-1,4.210594025E0,8.518186340E0,9.503536800E0
6.997508333E-1,-1.788780212E-1,4.250560913E0,8.412955170E0,9.427464140E0
7.096958333E-1,-1.990859985E-1,4.290378113E0,8.380023651E0,9.416569226E0
7.196408333E-1,-1.844165039E-1,4.326602783E0,8.359366608E0,9.414484116E0
7.295868333E-1,-1.661544800E-1,4.323908386E0,8.398435364E0,9.447619150E0
7.395318333E-1,-7.559280396E-2,4.327351227E0,8.634644165E0,9.658610809E0
7.494768333E-1,3.308120728E-2,4.374503174E0,8.833281097E0,9.857191655E0
7.594228333E-1,1.149609375E-1,4.379143524E0,9.004824371E0,1.001383922E1
7.693678333E-1,1.463955688E-1,4.341421967E0,9.198970642E0,1.017302498E1
7.793128333E-1,1.609153748E-1,4.351900177E0,9.427395630E0,1.038463852E1
7.892588333E-1,2.173480225E-1,4.435576172E0,9.692045288E0,1.066101862E1
7.992038333E-1,2.799179077E-1,4.529580688E0,9.901609497E0,1.089207629E1
8.091488333E-1,3.230282593E-1,4.644990692E0,1.011252090E1,1.113298544E1
8.190948333E-1,3.978726196E-1,4.771028595E0,1.037911652E1,1.143009519E1
8.290398333E-1,4.391867065E-1,4.817132721E0,1.061083466E1,1.166136633E1
8.389848333E-1,3.628454590E-1,4.718637543E0,1.084629501E1,1.183382071E1
8.489298333E-1,1.284329224E-1,4.618346100E0,1.107531876E1,1.200034588E1
8.588758333E-1,-9.071136475E-2,4.592150574E0,1.123249191E1,1.213527709E1
8.688208333E-1,-3.932322693E-1,4.539609833E0,1.130015121E1,1.218425650E1
8.787658333E-1,-7.710466003E-1,4.445904694E0,1.135284164E1,1.221669328E1
8.887118333E-1,-1.012943573E0,4.360432434E0,1.139206009E1,1.224003508E1
8.986568333E-1,-1.131796417E0,4.188889160E0,1.139849670E1,1.219645369E1
9.086018333E-1,-1.137933655E0,4.001029816E0,1.144445114E1,1.217696984E1
9.185478333E-1,-1.082548828E0,3.794459381E0,1.159354111E1,1.224663339E1
9.284928333E-1,-1.051114197E0,3.604953461E0,1.181133820E1,1.239387915E1
9.384378333E-1,-1.019978943E0,3.391796722E0,1.191432404E1,1.242963231E1
9.483838333E-1,-8.896000671E-1,3.216361542E0,1.184606598E1,1.230713813E1
9.583288333E-1,-8.134085083E-1,3.031795349E0,1.170056854E1,1.211431883E1
9.682738333E-1,-7.668553162E-1,2.905907135E0,1.148172363E1,1.186854418E1
9.782198333E-1,-5.692662048E-1,2.904559937E0,1.090736801E1,1.130182328E1
9.881648333E-1,-1.359173584E-1,2.982547760E0,1.008303223E1,1.051577879E1
9.981098333E-1,1.960922241E-1,3.060385895E0,9.287137299E0,9.780354451E0
1.008054833E0,3.471281433E-1,3.079845428E0,8.580157471E0,9.122776334E0
1.018000833E0,4.423301697E-1,3.115621033E0,7.994575195E0,8.591622836E0
1.027945833E0,5.011578369E-1,3.178939362E0,7.733817444E0,8.376678751E0
1.037890833E0,5.541476440E-1,3.172652435E0,7.724087677E0,8.368651835E0
1.047836833E0,4.450245667E-1,3.132685547E0,7.875722351E0,8.487565502E0
1.057781833E0,3.748205566E-1,3.113974457E0,8.170010376E0,8.751365431E0
1.067726833E0,2.633024597E-1,3.076552277E0,8.472680969E0,9.017805992E0
1.077672833E0,7.439529419E-2,2.947819977E0,8.738827515E0,9.222921642E0
1.087617833E0,-6.795867920E-2,2.855462036E0,8.962761841E0,9.406879485E0
1.097562833E0,-1.628613281E-1,2.786156158E0,9.135951691E0,9.552737997E0
1.107507833E0,-2.535726929E-1,2.709814911E0,9.196425934E0,9.590706226E0
1.117453833E0,-3.758683777E-1,2.701881409E0,9.135652313E0,9.534232186E0
1.127398833E0,-5.185217285E-1,2.746039581E0,8.933123474E0,9.360037028E0
1.137343833E0,-5.846841431E-1,2.745440826E0,8.635991364E0,9.080729470E0
1.147289833E0,-6.285429382E-1,2.678230591E0,8.355175323E0,8.796416316E0
1.157234833E0,-5.357359314E-1,2.647993469E0,8.164771271E0,8.600137924E0
1.167179833E0,-3.608995056E-1,2.679877167E0,8.029452667E0,8.472549806E0
1.177125833E0,-1.913021851E-1,2.670746155E0,7.883506165E0,8.325812332E0
1.187070833E0,-6.616241455E-2,2.661166077E0,7.748187561E0,8.192715840E0
1.197015833E0,1.017883301E-2,2.643053741E0,7.582781525E0,8.030218698E0
1.206961833E0,8.412506104E-2,2.747835846E0,7.378456421E0,7.873963298E0
1.216906833E0,5.089416504E-3,2.837798767E0,7.141349487E0,7.684529930E0
1.226851833E0,-6.331832886E-2,2.842588806E0,7.045698395E0,7.597775082E0
1.236797833E0,-3.323089600E-2,2.925965424E0,7.086114349E0,7.666511236E0
1.246742833E0,1.407073975E-2,3.007396088E0,7.124883728E0,7.733601836E0
1.256687833E0,4.775070190E-2,3.057691498E0,7.071295166E0,7.704217855E0
1.266632833E0,3.622467041E-2,3.092419281E0,6.892566833E0,7.554591107E0
1.276578833E0,-7.783813477E-3,3.130290527E0,6.831793213E0,7.514797261E0
1.286523833E0,-4.924758911E-2,3.210673370E0,6.878346405E0,7.590948431E0
1.296468833E0,-1.020877075E-1,3.308120728E0,6.988966370E0,7.733028874E0
1.306414833E0,-1.353186035E-1,3.308719482E0,7.236401825E0,7.958105749E0
1.316359833E0,-2.978805542E-2,3.305725708E0,7.602241058E0,8.289920319E0
1.326304833E0,1.052311707E-1,3.379372559E0,8.003257141E0,8.688115869E0
1.336250833E0,1.251397705E-1,3.458408203E0,8.269852753E0,8.964748285E0
1.346195833E0,1.402583313E-1,3.605851593E0,8.303532715E0,9.053755776E0
1.356140833E0,8.442443848E-2,3.761078796E0,8.149952087E0,8.976333340E0
1.366085833E0,2.395019531E-3,3.913761292E0,7.982001343E0,8.889875062E0
1.376031833E0,-2.694396973E-3,4.034859467E0,7.905360718E0,8.875518365E0
1.385976833E0,1.369651794E-1,4.094285889E0,7.974367218E0,8.965069377E0
1.395921833E0,3.132984924E-1,4.105662231E0,8.369844818E0,9.327857234E0
1.405867833E0,2.269281006E-1,4.162843323E0,8.828491058E0,9.763350616E0
1.415812833E0,1.169068909E-1,4.296066284E0,9.162446594E0,1.012029053E1
1.425757833E0,-3.981719971E-2,4.421355743E0,9.264234924E0,1.026528230E1
1.435703833E0,-1.571731567E-1,4.514911194E0,9.355844421E0,1.038946348E1
1.445648833E0,-1.481918335E-1,4.571343842E0,9.644593964E0,1.067414343E1
1.455593833E0,-6.107299805E-2,4.600383453E0,1.014185989E1,1.113663234E1
1.465538833E0,9.265731812E-2,4.705764313E0,1.063792831E1,1.163264037E1
1.475484833E0,3.044668579E-1,4.922214203E0,1.103265747E1,1.208471860E1
1.485429833E0,3.841012573E-1,5.153183899E0,1.122830063E1,1.236032253E1
1.495374833E0,2.224374390E-1,5.238955536E0,1.113788864E1,1.231051164E1
1.505320833E0,4.041595459E-2,5.129383392E0,1.076381653E1,1.192358812E1
1.515265833E0,-9.295669556E-2,5.051994324E0,1.036324951E1,1.152945047E1
1.525210833E0,-6.406677246E-2,5.137616272E0,1.015398468E1,1.137992137E1
1.535156833E0,-1.377136230E-1,5.156926117E0,1.022134460E1,1.144939900E1
1.545101833E0,-2.659968567E-1,5.028792572E0,1.049362839E1,1.163940487E1
1.555046833E0,-3.451821899E-1,4.870122528E0,1.085198318E1,1.189969677E1
1.564992833E0,-4.936734009E-1,4.659061432E0,1.131676666E1,1.224825598E1
1.574937833E0,-6.842271423E-1,4.373155975E0,1.193587921E1,1.273019531E1
1.584882833E0,-8.381071472E-1,4.114344177E0,1.249391876E1,1.318060157E1
1.594827833E0,-9.747729492E-1,3.907324677E0,1.292487259E1,1.353771398E1
1.604773833E0,-1.040785675E0,3.796704712E0,1.321197556E1,1.378602552E1
1.614718833E0,-1.013542328E0,3.769611053E0,1.315404602E1,1.372101171E1
1.624663833E0,-1.055006104E0,3.742367706E0,1.276515472E1,1.334419458E1
1.634609833E0,-1.200503540E0,3.637585602E0,1.216205887E1,1.275103579E1
1.644554833E0,-1.336869965E0,3.556304626E0,1.151585266E1,1.212639214E1
1.654499833E0,-1.313518524E0,3.575015717E0,1.086665268E1,1.151478218E1
1.664445833E0,-1.250649261E0,3.579955444E0,1.021984772E1,1.090071062E1
1.674390833E0,-1.120420074E0,3.547023926E0,9.629475403E0,1.032296064E1
1.684335833E0,-9.568103027E-1,3.527714081E0,9.192384338E0,9.892430562E0
1.694280833E0,-7.384144592E-1,3.542533264E0,8.991651764E0,9.692502220E0
1.704226833E0,-6.590794373E-1,3.514990540E0,9.039552155E0,9.721267785E0
1.714171833E0,-6.695576477E-1,3.527564392E0,9.043144684E0,9.729875835E0
1.724116833E0,-5.987548828E-1,3.518134003E0,8.894354095E0,9.583595831E0
1.734062833E0,-4.477189636E-1,3.490740967E0,8.593928833E0,9.286621428E0
1.744007833E0,-2.914439392E-1,3.423680420E0,8.174201660E0,8.867023174E0
1.753952833E0,-6.691085815E-2,3.385659485E0,7.781119080E0,8.486046273E0
1.763897833E0,1.378633118E-1,3.331472168E0,7.447612610E0,8.159941586E0
1.773843833E0,3.668870544E-1,3.250640259E0,7.176526337E0,7.886938472E0
1.783788833E0,5.728587341E-1,3.173400879E0,6.977590027E0,7.686702990E0
1.793733833E0,7.520361328E-1,3.126248932E0,6.858138428E0,7.574500209E0
1.803679833E0,9.768685913E-1,3.085383911E0,6.760691071E0,7.495385906E0
1.813624833E0,1.137933655E0,3.086282043E0,6.637048187E0,7.407458302E0
1.823569833E0,1.265169067E0,3.073558502E0,6.492897949E0,7.294185247E0
1.833515833E0,1.363065491E0,3.014581146E0,6.382727051E0,7.189217734E0
1.843460833E0,1.439855804E0,3.035238190E0,6.295608215E0,7.135862835E0
1.853405833E0,1.400188293E0,3.027304688E0,6.321055298E0,7.147086190E0
1.863350833E0,1.235979767E0,2.958597565E0,6.404431915E0,7.162240829E0
1.873296833E0,9.862989807E-1,2.920576630E0,6.498735809E0,7.192782539E0
1.883241833E0,7.831713867E-1,2.882705383E0,6.597081299E0,7.241880240E0
1.893186833E0,6.756948853E-1,2.874322815E0,6.683152313E0,7.306354773E0
1.903132833E0,5.550457764E-1,2.878514099E0,6.676116943E0,7.291396072E0
1.913077833E0,4.391867065E-1,2.911146240E0,6.656807098E0,7.278786859E0
1.923022833E0,3.755690002E-1,2.973117371E0,6.740483093E0,7.376624655E0
1.932968833E0,3.363505554E-1,3.057691498E0,6.856940918E0,7.515334174E0
1.942913833E0,2.591111755E-1,3.141666870E0,6.945706329E0,7.627584528E0
1.952858833E0,1.173559570E-1,3.238365784E0,6.976242828E0,7.692122553E0
1.962803833E0,-1.002914429E-1,3.346740417E0,7.007827148E0,7.766619029E0
1.972749833E0,-2.142045593E-1,3.467389526E0,7.105274506E0,7.909083355E0
1.982694833E0,-2.701881409E-1,3.623664551E0,7.184310150E0,8.050978744E0
1.992639833E0,-3.716770935E-1,3.751648407E0,7.344477081E0,8.255564985E0
2.002585833E0,-3.040177917E-1,3.873345337E0,7.652686157E0,8.582472624E0
2.012530833E0,-1.679507446E-1,4.055666199E0,8.009095001E0,8.978988724E0
2.022475833E0,-1.381626892E-1,4.193978577E0,8.351582794E0,9.346522369E0
2.032420708E0,-1.727407837E-1,4.334087219E0,8.734785919E0,9.752468224E0
2.042366708E0,-2.047741699E-1,4.508923645E0,9.112749939E0,1.016929380E1
2.052311708E0,-2.041754150E-1,4.603826294E0,9.446705475E0,1.051081103E1
2.062256708E0,-1.607656860E-1,4.625231781E0,9.781708832E0,1.082129578E1
2.072202708E0,-2.046244812E-1,4.691543884E0,1.006192612E1,1.110381972E1
2.082147708E0,-3.327580261E-1,4.768184509E0,1.019035904E1,1.125565319E1
2.092092708E0,-5.010081482E-1,4.922513580E0,1.017973114E1,1.131852796E1
2.102038708E0,-6.406677246E-1,5.181026001E0,1.023900787E1,1.149307478E1
2.111983708E0,-7.505392456E-1,5.423671417E0,1.040920395E1,1.176142201E1
2.121928708E0,-8.699908447E-1,5.539380798E0,1.051653076E1,1.191801338E1
2.131873708E0,-8.571176147E-1,5.601501617E0,1.065020279E1,1.206392517E1
2.141819708E0,-8.379574585E-1,5.761668549E0,1.090602081E1,1.236285918E1
2.151764708E0,-8.789721680E-1,5.790259094E0,1.129386429E1,1.272206992E1
2.161709708E0,-9.660910034E-1,5.560187531E0,1.187330933E1,1.314627292E1
2.171655708E0,-1.073268127E0,5.203479309E0,1.257190659E1,1.364847745E1
2.181600708E0,-9.313632202E-1,4.763244781E0,1.330133972E1,1.415915169E1
2.191545708E0,-6.448590088E-1,4.361929321E0,1.379366592E1,1.448128068E1
2.201490708E0,-2.977308655E-1,3.984264679E0,1.399993698E1,1.455888884E1
2.211436708E0,8.771759033E-2,3.733835449E0,1.379157028E1,1.428833904E1
2.221381708E0,3.460803223E-1,3.607049103E0,1.318039124E1,1.366942895E1
2.231326708E0,3.118016052E-1,3.518732758E0,1.244541962E1,1.293704641E1
2.241272708E0,2.586621094E-1,3.517984314E0,1.174801987E1,1.226617669E1
2.251217708E0,3.221301270E-1,3.536246338E0,1.117815491E1,1.172859553E1
2.261162708E0,4.412823486E-1,3.534450073E0,1.070558762E1,1.128258276E1
2.271107708E0,6.280938721E-1,3.565136261E0,1.027717850E1,1.089610464E1
2.281053708E0,7.206015015E-1,3.532354431E0,9.955796814E0,1.058842219E1
2.290998708E0,8.467890930E-1,3.453618164E0,9.707313538E0,1.033810748E1
2.300943708E0,9.392967224E-1,3.415447540E0,9.522897034E0,1.016037047E1
2.310889708E0,1.047521667E0,3.424877930E0,9.444160767E0,1.010045856E1
2.320834708E0,1.070274353E0,3.409160614E0,9.419611816E0,1.007456947E1
2.330779708E0,8.952882385E-1,3.249143372E0,9.414073334E0,9.999162486E0
2.340725708E0,5.788462830E-1,3.007695465E0,9.568402405E0,1.004667207E1
2.350670708E0,2.149530029E-1,2.822829895E0,9.749675446E0,1.015237631E1
2.360615708E0,-1.076261902E-1,2.647993469E0,9.854158173E0,1.020430723E1
2.370560708E0,-3.903881836E-1,2.521506500E0,9.789492645E0,1.011654903E1
2.380506708E0,-6.463558960E-1,2.423161011E0,9.604627075E0,9.926648301E0
2.390451708E0,-7.937992859E-1,2.419867859E0,9.215735779E0,9.561153890E0
2.400396708E0,-8.512797546E-1,2.459235992E0,8.683742065E0,9.065312744E0
2.410342708E0,-8.310717773E-1,2.465073853E0,8.131839752E0,8.537803415E0
2.420287708E0,-8.626560974E-1,2.431393890E0,7.594756622E0,8.020983727E0
2.430232708E0,-9.114546204E-1,2.411485291E0,7.144043884E0,7.594957133E0
