"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675847876869340E9,"2023-02-08 10:17:56.869 UTC+01:00"
"PAUSE",2.954534766665893E1,1.675847906415276E9,"2023-02-08 10:18:26.415 UTC+01:00"
